time,flux
140.27905610673042,48682.69
140.29949033886805,48700.258
140.31992467099917,48699.55
140.3403588029032,48701.133
140.38122726624715,48694.613
140.40166159767978,48678.56
140.42209572888532,48681.2
140.44252996009163,48697.926
140.46296429129143,48691.26
140.4833984220313,48688.242
140.50383265277196,48696.402
140.52426678350457,48690.797
140.54470111401315,48691.375
140.56513534428814,48693.08
140.58556957432302,48675.137
140.60600380436517,48680.71
140.62643803440733,48673.13
140.64687226397655,48664.848
140.6673063937851,48689.24
140.68774072312954,48666.457
140.70817495246592,48694.367
140.728609081576,48679.875
140.7490434106876,48690.152
140.76947763955832,48682.863
140.78991176820273,48684.45
140.8103459968479,48694.914
140.83078032525373,48678.586
140.85121455366607,48692.56
140.871648681612,48676.906
140.89208290978422,48694.58
140.91251723749883,48687.17
140.93295136521192,48689.562
140.9533855929185,48675.44
140.97381992040027,48688.562
140.9942540476477,48677.45
141.01468827465578,48690.047
141.03512250167114,48686.984
141.0555567286865,48674.207
141.07599095522892,48693.406
141.0964251817786,48694.746
141.1168594083283,48686.758
141.13729363440507,48679.562
141.15772786072193,48667.996
141.17816198657238,48683.965
141.19859631241707,48672.027
141.21903053803544,48684.734
141.23946466365305,48690.105
141.25989898903208,48687.1
141.2803332141848,48681.598
141.30076733933674,48686.938
141.32120156424935,48673.66
141.34163588917,48696.094
141.36207011385704,48686.23
141.38250423830323,48683.8
141.40293846275745,48667.035
141.4233727869796,48688.598
141.44380701096088,48677.035
141.46424113494868,48692.168
141.48467545870517,48687.742
141.5051096822208,48692.73
141.52554380574293,48680.99
141.545978029033,48684.23
141.56641225231579,48666.453
141.58684657537378,48676.723
141.60728069819743,48678.004
141.62771502101532,48678.965
141.6481492436069,48684.055
141.66858336596488,48687.277
141.68901758831635,48683.367
141.70945191044302,48681.816
141.72988603256817,48682.047
141.75032025445398,48682.71
141.770754576115,48687.0
141.7911886977745,48688.31
141.81162291919463,48682.254
141.83205714038922,48685.625
141.85249136158382,48677.38
141.8729255825383,48674.78
141.89335980326723,48656.137
141.91379412399692,48672.453
141.93422824448498,48673.37
141.95466246498108,48684.883
141.97509658501076,48673.285
141.99553090526751,48677.2
142.01596512506512,48691.438
142.03639924486197,48675.746
142.0568334646523,48675.047
142.077267783985,48673.586
142.09770200331695,48666.87
142.11813612264814,48680.69
142.13857044174074,48681.973
142.15900466060702,48676.414
142.17943877923244,48670.367
142.1998729978659,48658.508
142.22030731626728,48673.93
142.24074143466714,48686.855
142.26117565282766,48690.504
142.28160997076338,48688.395
142.3020440886903,48665.246
142.32247830639244,48658.355
142.34291252386174,48654.617
142.36334684132453,48648.754
142.38378095856024,48666.61
142.40421517556388,48681.17
142.424649492561,48684.523
142.44508360933105,48679.11
142.46551782610186,48669.14
142.48595194263908,48683.047
142.5063862589377,48673.57
142.52682047501003,48678.08
142.54725469107507,48674.746
142.56768880714662,48679.242
142.58812312275404,48687.445
142.6085573383607,48671.37
142.62899145372648,48680.33
142.64942576910107,48670.76
142.6698599842348,48676.727
142.69029409937502,48683.082
142.71072831405036,48661.38
142.73116262872645,48682.176
142.75159674339375,48672.81
142.77203095783625,48669.383
142.7924652720394,48667.285
142.8128993860155,48678.734
142.83333359999233,48675.29
142.85376781373634,48671.62
142.87420212747384,48678.54
142.89463624098425,48672.426
142.9150704542626,48674.52
142.93550476753444,48683.973
142.9559388805792,48674.69
142.97637309339189,48689.09
142.99680720619654,48683.906
143.01724151877715,48681.523
143.03767573112418,48671.86
143.05810994346393,48672.977
143.07854415557813,48674.3
143.0989783674595,48675.535
143.11941257933358,48687.973
143.13984679098212,48667.695
143.16028100239055,48674.094
143.18071521380625,48668.508
143.20114932498836,48679.176
143.22158353617124,48680.234
143.24201784711477,48671.24
143.26245205783198,48665.766
143.28288626830908,48670.047
143.30332047879347,48671.03
143.32375468904502,48671.246
143.36462300930725,48683.01
143.3850573190939,48668.2
143.40549152887252,48678.605
143.42592563819198,48699.77
143.4463599477458,48664.42
143.4667941568332,48683.168
143.48722826591256,48682.938
143.50766247499996,48684.11
143.52809678361518,48673.01
143.54853099223692,48670.977
143.56896510062506,48675.816
143.58939940901473,48676.457
143.60983361716353,48669.996
143.63026772508601,48664.023
143.65070193300926,48670.2
143.67113624069316,48669.152
143.69157034814998,48684.344
143.71200455560756,48680.496
143.73243876282504,48667.723
143.75287296981696,48678.812
143.77330717680888,48674.5
143.7937413835607,48666.504
143.8141755903198,48682.973
143.83460979661322,48654.52
143.85504400289938,48669.418
143.87547810919204,48675.895
143.89591241502058,48667.62
143.91634662084107,48672.414
143.93678072666808,48670.19
143.95721503203094,48689.79
143.9776492376186,48673.234
143.99808334274712,48661.4
144.0185175478764,48668.457
144.03895185276633,48662.57
144.05938605742995,48660.777
144.0798201620928,48671.766
144.10025446651707,48676.125
144.12068867071503,48669.688
144.14112277491222,48673.516
144.16155697887007,48666.54
144.18199128283595,48689.145
144.20242538633465,48662.895
144.22285958982684,48672.96
144.24329389332706,48677.758
144.2637279963601,48668.19
144.28416219938663,48682.434
144.30459640242043,48662.254
144.3250306052214,48679.453
144.34546480778226,48682.004
144.36589901011757,48679.797
144.38633311245212,48658.426
144.40676741454809,48668.4
144.42720161641773,48652.543
144.44763571828662,48630.96
144.46807001991692,48619.676
144.4885042213209,48636.906
144.50893832272413,48632.477
144.52937252388801,48640.312
144.5498068248271,48663.637
